,Estado,2005,2007,2009,2011,2013,2015,2017,2019,p2007,p2009,p2011,p2013,p2015,p2017,p2019,meta2007,meta2009,meta2011,meta2013,meta2015,meta2017,meta2019
14,Sergipe,2.9,2.9,2.7,2.9,2.7,2.9,3.5,3.6,2.9,3.0,3.3,3.7,4.1,4.4,4.6,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
15,Bahia,2.6,2.7,2.8,2.9,3.1,3.2,3.2,3.7,2.7,2.8,3.1,3.5,3.9,4.2,4.4,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
16,Minas Gerais,3.6,3.7,4.1,4.4,4.7,4.5,4.4,4.6,3.6,3.8,4.0,4.4,4.8,5.1,5.3,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
17,Espírito Santo,3.5,3.6,3.8,3.7,4.0,4.0,4.4,4.8,3.6,3.7,4.0,4.4,4.8,5.0,5.3,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
18,Rio de Janeiro,2.9,2.9,3.1,3.2,3.6,3.7,3.7,3.9,2.9,3.1,3.3,3.7,4.1,4.4,4.6,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
19,São Paulo,3.8,4.0,4.3,4.3,4.4,4.7,4.8,5.2,3.8,4.0,4.2,4.6,5.0,5.3,5.5,Alcançou a meta,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
20,Paraná,3.3,4.0,4.1,4.0,4.1,4.3,4.6,5.1,3.3,3.5,3.8,4.2,4.5,4.8,5.1,Alcançou a meta,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Alcançou a meta
21,Santa Catarina,4.1,4.1,4.2,4.7,4.1,4.7,4.8,4.5,4.1,4.3,4.5,4.9,5.3,5.5,5.8,Alcançou a meta,Não alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
22,R. G. do Sul,3.5,3.7,3.8,3.8,3.9,4.0,4.3,4.4,3.5,3.7,4.0,4.4,4.8,5.0,5.3,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
23,M. G. do Sul,2.9,3.5,3.6,3.5,3.7,4.1,4.6,4.6,3.0,3.1,3.4,3.8,4.2,4.4,4.7,Alcançou a meta,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Alcançou a meta,Não alcançou a meta
24,Mato Grosso,2.9,3.6,4.2,4.3,4.2,4.5,4.6,4.5,2.9,3.1,3.3,3.7,4.1,4.4,4.6,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Não alcançou a meta
25,Goiás,3.3,3.4,3.6,4.0,4.5,4.7,5.2,5.2,3.3,3.5,3.7,4.1,4.5,4.8,5.0,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta,Alcançou a meta
26,Distrito Federal,3.3,3.5,3.9,3.9,3.8,4.0,4.3,4.6,3.3,3.4,3.7,4.1,4.5,4.8,5.0,Alcançou a meta,Alcançou a meta,Alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta,Não alcançou a meta
