ano,Rondônia,Acre,Amazonas,Roraima,Pará,Amapá,Tocantins,Maranhão,Piauí,Ceará,R. G. do Norte,Paraíba,Pernambuco,Alagoas,Sergipe,Bahia,Minas Gerais,Espírito Santo,Rio de Janeiro,São Paulo,Paraná,Santa Catarina,R. G. do Sul,M. G. do Sul,Mato Grosso,Goiás,Distrito Federal
2005,3.0,3.0,2.3,3.2,2.6,2.7,2.9,2.4,2.3,3.0,2.6,2.6,2.7,2.8,2.8,2.7,3.4,3.1,2.8,3.3,3.3,3.5,3.4,2.8,2.6,2.9,3.0
2007,3.1,3.3,2.8,3.1,2.3,2.7,3.1,2.8,2.5,3.1,2.6,2.9,2.7,2.6,2.6,2.8,3.5,3.2,2.8,3.4,3.7,3.8,3.4,3.4,3.0,2.8,3.2
2009,3.7,3.5,3.2,3.5,3.0,2.8,3.3,3.0,2.7,3.4,2.8,3.0,3.0,2.8,2.9,3.1,3.6,3.4,2.8,3.6,3.9,3.7,3.6,3.5,2.9,3.1,3.2
2011,3.3,3.3,3.4,3.5,2.8,3.0,3.5,3.0,2.9,3.4,2.8,2.9,3.1,2.6,2.9,3.0,3.7,3.3,3.2,3.9,3.7,4.0,3.4,3.5,3.1,3.6,3.1
2013,3.4,3.3,3.0,3.2,2.7,2.9,3.2,2.8,3.0,3.3,2.7,3.0,3.6,2.6,2.8,2.8,3.6,3.4,3.6,3.7,3.4,3.6,3.7,3.4,2.7,3.8,3.3
2015,3.3,3.5,3.5,3.4,3.0,3.1,3.3,3.1,3.2,3.4,2.8,3.1,3.9,2.8,2.6,2.9,3.5,3.7,3.6,3.9,3.6,3.4,3.3,3.5,3.0,3.8,3.5
2017,3.8,3.6,3.3,3.3,2.8,3.0,3.7,3.4,3.3,3.8,2.9,3.1,4.0,3.3,3.1,2.7,3.6,4.1,3.3,3.8,3.7,3.6,3.4,3.6,3.2,4.3,3.4
2019,4.0,3.7,3.5,3.5,3.2,3.2,3.9,3.7,3.7,4.2,3.2,3.6,4.4,3.6,3.3,3.2,4.0,4.6,3.5,4.3,4.4,3.8,4.0,4.1,3.4,4.7,4.0
